Date,Open,High,Low,Close,Adj Close,Volume
2014-07-14,60.139999,60.189999,59.950001,60.180000,50.802925,3809200
2014-07-15,60.549999,60.720001,60.230000,60.709999,51.250347,5722100
2014-07-16,60.740002,60.740002,59.820000,60.139999,50.769165,6987700
2014-07-17,59.990002,60.200001,59.570000,59.720001,50.414604,4559400
2014-07-18,59.820000,60.040001,59.500000,60.009998,50.659416,4735900
2014-07-21,59.980000,60.020000,59.040001,59.299999,50.060047,4122900
2014-07-22,59.419998,59.520000,59.139999,59.380001,50.127590,3548400
2014-07-23,59.450001,60.840000,59.369999,60.730000,51.267231,6167200
2014-07-24,60.740002,61.070000,60.419998,60.990002,51.486721,3491900
2014-07-25,60.759998,60.889999,60.290001,60.389999,50.980202,2629200
2014-07-28,60.400002,60.580002,59.990002,60.299999,50.904221,4011200
2014-07-29,60.349998,61.320000,60.299999,61.099998,51.579582,3807200
2014-07-30,61.310001,61.630001,61.139999,61.380001,51.815952,3677000
2014-07-31,61.000000,61.000000,59.580002,59.590000,50.304859,7067900
2014-08-01,59.320000,60.000000,59.200001,59.849998,50.524345,4011800
2014-08-04,60.169998,61.000000,59.919998,60.700001,51.241901,4232000
2014-08-05,58.450001,59.410000,57.810001,58.029999,48.987930,14982100
2014-08-06,57.480000,58.240002,57.259998,57.970001,48.937283,7262700
2014-08-07,58.259998,58.360001,57.270000,57.500000,48.540516,4917200
2014-08-08,57.889999,58.590000,57.619999,58.540001,49.418476,4710700
2014-08-11,58.599998,58.669998,58.150002,58.360001,49.266521,2788100
2014-08-12,58.349998,58.540001,58.020000,58.459999,49.350941,2946000
2014-08-13,58.430000,58.480000,57.750000,58.259998,49.182095,3660300
2014-08-14,58.200001,58.770000,58.090000,58.740002,49.587311,3144900
2014-08-15,58.740002,58.770000,57.840000,58.200001,49.131443,4186700
2014-08-18,58.049999,58.689999,57.750000,58.549999,49.872505,4016700
2014-08-19,58.840000,59.410000,58.599998,59.250000,50.468758,4807300
2014-08-20,58.500000,60.790001,58.250000,60.330002,51.388706,12835000
2014-08-21,60.400002,61.090000,59.820000,61.070000,52.019020,6562000
2014-08-22,61.139999,61.459999,60.779999,61.049999,52.001991,4566200
2014-08-25,61.299999,61.500000,60.720001,60.980000,51.942364,4368200
2014-08-26,61.049999,61.200001,60.590000,60.700001,51.703865,3224800
2014-08-27,60.730000,60.959999,60.639999,60.790001,51.780525,2797700
2014-08-28,60.480000,60.590000,60.070000,60.349998,51.405735,4221300
2014-08-29,60.720001,60.720001,60.049999,60.070000,51.167229,4008100
2014-09-02,60.279999,60.500000,59.980000,60.189999,51.269440,2602700
2014-09-03,60.529999,60.570000,59.980000,60.389999,51.439808,3553500
2014-09-04,60.380001,61.209999,60.200001,61.029999,51.984951,4363300
2014-09-05,61.000000,61.150002,60.500000,61.080002,52.027554,3401800
2014-09-08,60.900002,61.200001,60.270000,60.560001,51.584614,3191300
2014-09-09,60.470001,60.910000,60.180000,60.880001,51.857182,4237200
2014-09-10,61.009998,62.340000,60.869999,61.950001,52.768612,8681600
2014-09-11,61.830002,62.680000,61.610001,62.590000,53.313755,5599800
2014-09-12,62.540001,62.650002,61.980000,62.529999,53.262650,4427400
2014-09-15,62.430000,62.610001,62.070000,62.209999,52.990074,3694100
2014-09-16,62.070000,63.259998,62.060001,62.860001,53.543739,4552400
2014-09-17,62.869999,63.090000,62.480000,62.869999,53.552258,3275900
2014-09-18,63.230000,64.650002,63.200001,63.930000,54.455151,7343500
2014-09-19,64.230003,64.360001,63.610001,63.810001,54.352940,4918900
2014-09-22,63.540001,63.770000,63.130001,63.360001,53.969627,3078100
2014-09-23,63.320000,63.599998,63.070000,63.080002,53.731133,3995300
2014-09-24,63.000000,63.930000,62.990002,63.880001,54.412567,3249400
2014-09-25,63.630001,63.759998,62.750000,62.880001,53.560776,2840900
2014-09-26,63.200001,63.279999,62.639999,63.150002,53.790760,2336200
2014-09-29,62.570000,63.160000,62.529999,63.040001,53.697067,2170300
2014-09-30,62.860001,63.090000,62.520000,62.680000,53.390415,2557700
2014-10-01,62.680000,62.900002,62.029999,62.070000,52.870815,3876400
2014-10-02,62.139999,62.700001,61.610001,62.570000,53.296715,3199800
2014-10-03,63.090000,63.450001,62.770000,63.070000,53.722618,2606500
2014-10-06,63.029999,63.340000,62.189999,62.279999,53.049698,2481300
2014-10-07,62.020000,62.080002,61.330002,61.540001,52.419365,3661900
2014-10-08,61.680000,62.959999,61.520000,62.810001,53.501148,3951200
2014-10-09,62.750000,63.090000,61.419998,61.599998,52.470478,4349000
2014-10-10,61.680000,62.439999,60.549999,60.590000,51.610165,6201900
2014-10-13,60.549999,61.570000,60.029999,60.439999,51.482407,5330000
2014-10-14,60.959999,61.820000,60.740002,61.689999,52.547131,4542600
2014-10-15,60.860001,61.240002,59.290001,59.980000,51.090572,7773900
2014-10-16,58.830002,60.169998,58.720001,59.439999,50.630600,4332600
2014-10-17,59.930000,60.060001,58.900002,59.070000,50.315441,6502300
2014-10-20,58.959999,60.310001,58.959999,60.290001,51.354633,4302200
2014-10-21,60.689999,61.939999,60.410000,61.639999,52.504543,4790200
2014-10-22,61.770000,62.430000,61.270000,61.330002,52.240501,3790600
2014-10-23,61.790001,62.500000,61.689999,62.029999,52.836750,3412700
2014-10-24,61.950001,62.020000,61.200001,61.570000,52.444923,3984500
2014-10-27,61.549999,61.750000,61.029999,61.560001,52.436405,3630500
2014-10-28,61.250000,61.320000,60.290001,60.650002,51.661266,4976500
2014-10-29,60.720001,60.959999,60.369999,60.889999,51.865707,2992200
2014-10-30,60.810001,61.959999,60.549999,61.779999,52.623802,2303500
2014-10-31,62.250000,62.369999,61.439999,61.820000,52.657871,4231400
2014-11-03,61.820000,61.980000,61.139999,61.590000,52.461960,2728000
2014-11-04,61.560001,61.630001,60.980000,61.369999,52.274567,3038300
2014-11-05,61.849998,62.000000,60.990002,61.119999,52.061619,2687700
2014-11-06,61.330002,62.000000,61.130001,61.889999,52.717499,3956100
2014-11-07,62.279999,64.660004,62.169998,64.169998,54.659580,7531300
2014-11-10,64.839996,65.919998,64.139999,65.519997,55.809513,7876600
2014-11-11,65.440002,65.860001,65.260002,65.720001,55.979877,3418200
2014-11-12,65.489998,66.900002,65.370003,66.720001,56.831665,6236600
2014-11-13,66.959999,67.779999,66.940002,67.500000,57.496067,7880200
2014-11-14,67.330002,68.279999,67.150002,68.129997,58.032692,5487900
2014-11-17,67.580002,67.699997,66.900002,67.129997,57.620686,7260900
2014-11-18,66.959999,67.760002,66.500000,67.510002,57.946854,5575400
2014-11-19,69.949997,73.080002,69.860001,72.500000,62.230007,25615400
2014-11-20,71.339996,71.830002,70.300003,71.190002,61.105556,11065700
2014-11-21,71.800003,72.260002,71.050003,71.510002,61.380245,6835200
2014-11-24,71.360001,72.160004,71.000000,71.570000,61.431728,4095500
2014-11-25,71.680000,72.199997,71.360001,72.099998,61.886658,6635000
2014-11-26,71.959999,72.300003,71.730003,72.160004,61.938171,4123300
2014-11-28,72.559998,74.760002,72.559998,74.000000,63.517506,4466500
2014-12-01,73.339996,73.470001,72.059998,72.750000,62.444584,7798400
2014-12-02,72.529999,73.400002,72.379997,73.070000,62.719257,4142600
2014-12-03,73.000000,73.830002,72.589996,73.330002,62.942421,6699600
2014-12-04,73.330002,73.400002,72.529999,73.279999,62.899502,4238000
2014-12-05,73.519997,73.709999,72.879997,73.660004,63.225674,3760000
2014-12-08,73.500000,74.099998,73.239998,73.779999,63.328663,3851500
2014-12-09,72.650002,73.629997,72.400002,73.599998,63.174168,3367600
2014-12-10,73.300003,74.190002,72.839996,72.910004,62.581917,4556000
2014-12-11,73.660004,74.580002,73.320000,73.529999,63.114086,5648200
2014-12-12,73.540001,74.000000,72.389999,72.400002,62.144154,4592000
2014-12-15,73.070000,73.519997,72.400002,73.199997,62.830837,3638000
2014-12-16,73.199997,73.309998,71.980003,72.279999,62.041164,7869200
2014-12-17,72.879997,73.730003,72.279999,73.570000,63.148422,2972800
2014-12-18,74.300003,74.989998,73.720001,74.639999,64.066856,7823800
2014-12-19,74.400002,74.620003,73.690002,73.949997,63.474598,6277200
2014-12-22,73.970001,74.589996,73.870003,74.500000,63.946686,3730300
2014-12-23,74.830002,75.070000,74.360001,74.690002,64.109764,3514500
2014-12-24,74.790001,75.320000,74.610001,74.650002,64.075439,1783800
2014-12-26,74.720001,75.370003,74.610001,75.059998,64.427368,2222500
2014-12-29,75.059998,75.989998,74.870003,75.529999,64.830780,2744900
2014-12-30,75.440002,75.879997,75.199997,75.709999,64.985275,2160800
2014-12-31,75.449997,76.650002,75.269997,75.910004,65.156960,3206000
2015-01-02,76.110001,76.639999,74.550003,75.330002,64.659111,3710300
2015-01-05,75.169998,75.510002,73.879997,73.980003,63.500347,3778200
2015-01-06,74.300003,74.690002,72.739998,73.970001,63.491764,4659300
2015-01-07,74.879997,76.949997,74.879997,76.769997,65.895126,6946900
2015-01-08,76.809998,77.750000,76.690002,77.129997,66.204124,6344900
2015-01-09,77.260002,77.370003,76.330002,76.430000,65.603279,3215300
2015-01-12,76.080002,76.940002,76.040001,76.629997,65.774956,2842900
2015-01-13,76.889999,77.660004,75.470001,75.949997,65.191292,4915600
2015-01-14,74.610001,75.040001,73.690002,74.330002,63.800762,5634900
2015-01-15,77.300003,77.500000,75.080002,75.669998,64.950943,17296000
2015-01-16,75.330002,75.459999,73.349998,74.940002,64.324348,9973000
2015-01-20,74.940002,75.139999,72.889999,73.669998,63.234268,9165600
2015-01-21,73.510002,74.320000,73.080002,73.949997,63.474598,5034400
2015-01-22,74.470001,75.940002,73.629997,75.769997,65.036804,4662800
2015-01-23,75.889999,75.930000,74.650002,75.290001,64.624779,3954600
2015-01-26,75.330002,75.480003,74.779999,75.250000,64.590439,3584800
2015-01-27,75.000000,75.339996,74.389999,74.760002,64.169861,3228200
2015-01-28,75.339996,76.040001,74.129997,74.260002,63.740704,4174300
2015-01-29,74.260002,75.489998,73.830002,75.489998,64.796432,4545700
2015-01-30,74.769997,75.129997,73.550003,73.610001,63.182770,7176900
2015-02-02,73.190002,74.389999,71.900002,74.250000,63.732082,4926500
2015-02-03,74.720001,75.889999,74.129997,75.870003,65.122627,4920000
2015-02-04,75.610001,76.660004,75.459999,75.610001,64.899452,5670200
2015-02-05,75.940002,76.389999,75.820000,75.949997,65.191292,3111300
2015-02-06,76.000000,76.699997,75.559998,76.360001,65.543205,4101400
2015-02-09,76.050003,76.580002,75.110001,75.389999,64.710609,3112700
2015-02-10,75.599998,76.699997,75.570000,76.650002,65.792137,2810100
2015-02-11,76.419998,76.699997,75.889999,76.419998,65.594704,2760400
2015-02-12,76.400002,76.940002,75.849998,76.870003,65.980965,3751000
2015-02-13,76.489998,76.699997,75.690002,76.120003,65.782181,2381100
2015-02-17,75.800003,76.800003,74.940002,76.639999,66.231575,4037200
2015-02-18,76.750000,77.389999,76.430000,77.349998,66.845154,4545200
2015-02-19,77.230003,77.260002,76.269997,76.680000,66.266144,5613100
2015-02-20,76.550003,76.870003,76.000000,76.870003,66.430336,4477600
2015-02-23,76.870003,77.250000,76.290001,76.690002,66.274780,4264100
2015-02-24,76.830002,77.010002,76.070000,76.949997,66.499481,4810000
2015-02-25,78.080002,78.400002,75.970001,77.150002,66.672318,9410300
2015-02-26,77.139999,77.400002,76.269997,76.900002,66.456261,5283000
2015-02-27,77.029999,77.300003,76.709999,76.830002,66.395767,4741000
2015-03-02,76.830002,78.160004,76.730003,77.680000,67.130325,6116300
2015-03-03,77.279999,78.139999,75.080002,78.000000,67.406891,12906900
2015-03-04,77.940002,79.000000,77.589996,77.720001,67.164909,8019500
2015-03-05,77.790001,78.239998,77.790001,78.199997,67.579697,6622300
2015-03-06,77.820000,77.820000,76.849998,77.209999,66.724174,3927900
2015-03-09,77.110001,78.660004,76.949997,78.570000,67.899475,4418000
2015-03-10,78.269997,78.349998,77.419998,77.669998,67.121689,4807000
2015-03-11,78.370003,78.459999,77.220001,77.779999,67.216766,3829900
2015-03-12,78.099998,79.459999,78.000000,79.300003,68.530342,4190900
2015-03-13,79.290001,79.699997,78.639999,79.180000,68.426620,5401500
2015-03-16,79.660004,80.809998,79.610001,80.489998,69.558716,4452100
2015-03-17,80.470001,81.349998,80.199997,81.029999,70.025398,5042400
2015-03-18,80.970001,81.379997,79.919998,81.059998,70.051285,4906600
2015-03-19,80.459999,80.809998,80.370003,80.599998,69.653770,3991700
2015-03-20,80.790001,81.839996,80.599998,81.309998,70.267319,5534900
2015-03-23,81.430000,82.239998,81.199997,81.230003,70.198204,3372500
2015-03-24,81.099998,82.190002,80.910004,82.000000,70.863625,5686000
2015-03-25,82.080002,82.099998,81.349998,81.620003,70.535240,5617100
2015-03-26,81.360001,81.360001,80.320000,80.440002,69.515503,4795000
2015-03-27,80.389999,81.860001,80.330002,81.559998,70.483376,3752700
2015-03-30,81.910004,82.750000,81.910004,82.139999,70.984642,3854700
2015-03-31,82.220001,82.809998,82.000000,82.070000,70.924133,5368000
2015-04-01,81.830002,82.230003,81.260002,82.089996,70.941406,4961700
2015-04-02,82.010002,82.830002,81.599998,82.669998,71.442642,3002000
2015-04-06,82.870003,83.620003,82.410004,83.339996,72.021637,3825800
2015-04-07,83.250000,83.680000,82.540001,82.610001,71.390785,3021300
2015-04-08,82.779999,83.620003,82.730003,83.139999,71.848801,3272200
2015-04-09,83.000000,83.610001,82.680000,83.290001,71.978447,3369900
2015-04-10,83.330002,83.739998,82.959999,83.570000,72.220421,2811500
2015-04-13,83.459999,83.980003,82.910004,82.959999,71.693260,2429700
2015-04-14,82.790001,83.389999,82.290001,83.059998,71.779686,2861100
2015-04-15,83.330002,83.820000,81.879997,81.959999,70.829071,3841700
2015-04-16,81.930000,82.290001,81.529999,81.919998,70.794502,4219700
2015-04-17,81.410004,81.489998,79.910004,80.019997,69.152557,6089800
2015-04-20,80.910004,81.279999,80.389999,80.930000,69.938934,3898100
2015-04-21,81.570000,81.779999,81.070000,81.250000,70.215500,2929400
2015-04-22,81.330002,81.680000,81.010002,81.339996,70.293274,4212600
2015-04-23,81.279999,82.260002,81.220001,81.930000,70.803139,4628700
2015-04-24,82.970001,83.000000,82.440002,82.699997,71.468559,3611700
2015-04-27,82.849998,82.940002,81.169998,81.379997,70.327827,4778900
2015-04-28,81.279999,81.809998,80.870003,81.510002,70.440201,3233300
2015-04-29,81.199997,81.290001,78.739998,78.870003,68.158707,6637200
2015-04-30,78.779999,79.379997,78.389999,78.830002,68.124146,5376700
2015-05-01,78.699997,79.699997,78.589996,79.650002,68.832787,3066500
2015-05-04,79.739998,80.779999,79.650002,80.180000,69.290817,2946400
2015-05-05,80.019997,80.190002,78.919998,78.970001,68.245155,3172100
2015-05-06,79.430000,79.430000,78.500000,79.120003,68.374771,3907000
2015-05-07,79.349998,80.290001,79.160004,80.110001,69.230324,3964700
2015-05-08,80.800003,81.330002,80.580002,80.739998,69.774750,4021200
2015-05-11,80.800003,81.370003,80.529999,80.610001,69.662407,2778000
2015-05-12,80.209999,81.309998,80.139999,80.809998,69.835243,2760900
2015-05-13,80.559998,80.930000,79.730003,79.809998,68.971062,4881200
2015-05-14,77.360001,78.099998,76.459999,77.260002,66.767357,9895600
2015-05-15,77.639999,78.540001,77.239998,78.529999,67.864906,6851300
2015-05-18,78.279999,78.529999,77.660004,78.360001,68.169388,4754100
2015-05-19,77.989998,78.459999,77.389999,77.919998,67.786598,8702700
2015-05-20,79.330002,79.400002,77.570000,78.180000,68.012779,10683400
2015-05-21,78.300003,79.970001,78.000000,79.389999,69.065422,6725000
2015-05-22,79.589996,79.589996,78.930000,79.290001,68.978432,3847300
2015-05-26,79.440002,79.589996,78.949997,79.080002,68.795746,4691200
2015-05-27,79.489998,80.489998,79.320000,80.300003,69.857071,4792200
2015-05-28,80.419998,80.699997,79.639999,80.050003,69.639610,2968300
2015-05-29,79.959999,80.010002,79.000000,79.320000,69.004524,3576700
2015-06-01,79.500000,79.919998,79.110001,79.510002,69.169823,3181600
2015-06-02,79.199997,80.139999,78.910004,80.000000,69.596100,3453000
2015-06-03,80.349998,80.750000,79.889999,80.339996,69.891876,3440800
2015-06-04,79.980003,80.500000,79.570000,79.959999,69.561317,5688100
2015-06-05,80.139999,80.260002,79.089996,79.199997,68.900131,3922400
2015-06-08,79.250000,79.250000,78.629997,78.889999,68.630455,3196000
2015-06-09,78.690002,79.260002,78.250000,78.900002,68.639153,5471500
2015-06-10,79.669998,79.800003,79.050003,79.669998,69.308998,4670000
2015-06-11,80.000000,80.440002,79.919998,80.070000,69.656998,3575100
2015-06-12,79.599998,80.150002,79.410004,79.470001,69.135017,2909100
2015-06-15,80.349998,81.089996,80.019997,80.449997,69.987572,6228300
2015-06-16,80.480003,81.470001,80.050003,80.970001,70.439964,4060700
2015-06-17,81.139999,82.470001,81.089996,82.099998,71.423004,5215200
2015-06-18,82.099998,83.410004,82.099998,83.190002,72.371239,6680000
2015-06-19,83.000000,84.500000,82.910004,83.349998,72.510445,11601500
2015-06-22,84.230003,84.330002,83.650002,84.230003,73.276009,4797900
2015-06-23,84.580002,85.809998,84.400002,84.760002,73.737076,5916800
2015-06-24,84.720001,84.860001,83.989998,84.339996,73.371689,3281300
2015-06-25,84.419998,85.209999,84.339996,84.500000,73.510895,5008600
2015-06-26,84.489998,84.650002,83.849998,84.080002,73.145493,6189100
2015-06-29,83.480003,83.900002,81.970001,82.089996,71.414291,5224500
2015-06-30,82.650002,83.000000,81.570000,81.629997,71.014114,5060000
2015-07-01,82.099998,83.129997,81.839996,82.989998,72.197258,4087900
2015-07-02,83.059998,83.430000,82.150002,82.269997,71.570885,3422000
2015-07-06,81.849998,83.209999,81.750000,82.930000,72.145058,3539100
2015-07-07,83.089996,84.480003,82.750000,84.449997,73.467377,5709100
2015-07-08,83.680000,84.239998,83.389999,83.480003,72.623558,4087600
2015-07-09,84.199997,84.330002,83.019997,83.040001,72.240746,3864000
2015-07-10,84.089996,84.190002,83.610001,83.910004,72.997604,3271100
2015-07-13,84.669998,84.739998,84.099998,84.099998,73.162910,3450800
2015-07-14,84.110001,84.370003,83.320000,84.099998,73.162910,4095400
2015-07-15,84.099998,84.550003,83.440002,84.459999,73.476082,2853900
2015-07-16,84.750000,85.309998,84.500000,85.010002,73.954559,2971600
2015-07-17,84.699997,85.010002,84.440002,84.690002,73.676193,2924600
2015-07-20,84.650002,84.980003,84.169998,84.230003,73.276009,3261400
2015-07-21,84.180000,84.250000,82.150002,82.279999,71.579590,6085900
2015-07-22,82.550003,83.349998,82.440002,82.820000,72.049347,4350900
2015-07-23,82.889999,82.949997,81.620003,81.650002,71.031517,3489600
2015-07-24,81.870003,81.870003,80.099998,80.209999,69.778786,5294300
2015-07-27,79.870003,79.879997,79.129997,79.489998,69.152420,4637300
2015-07-28,80.489998,80.599998,79.489998,80.529999,70.057182,5457200
2015-07-29,80.690002,82.019997,80.599998,81.839996,71.196815,5323500
2015-07-30,81.580002,82.279999,81.540001,81.930000,71.275116,2991300
2015-07-31,82.279999,82.360001,81.709999,81.849998,71.205498,2832200
2015-08-03,81.180000,81.629997,80.050003,80.389999,69.935364,3595800
2015-08-04,80.309998,80.779999,79.709999,80.050003,69.639610,4355600
2015-08-05,80.629997,81.070000,79.750000,80.040001,69.630890,4303400
2015-08-06,80.000000,80.339996,78.620003,79.540001,69.195915,4508200
2015-08-07,79.639999,79.739998,78.599998,78.980003,68.708740,3153400
2015-08-10,79.449997,79.690002,78.820000,78.970001,68.700058,2998400
2015-08-11,78.650002,79.260002,78.269997,78.870003,68.613052,4188100
2015-08-12,78.550003,79.239998,77.080002,79.000000,68.726143,5077100
2015-08-13,78.730003,79.809998,78.290001,78.989998,68.717438,3322900
2015-08-14,78.980003,79.610001,78.730003,79.349998,69.030632,3597900
2015-08-17,78.430000,79.199997,78.190002,78.980003,69.197098,2908900
2015-08-18,78.599998,80.730003,78.599998,80.300003,70.353592,7326700
2015-08-19,83.949997,84.620003,79.120003,80.870003,70.852989,21173800
2015-08-20,80.349998,81.669998,79.809998,80.660004,70.669014,7497600
2015-08-21,80.070000,80.870003,78.360001,78.400002,68.688942,7982000
2015-08-24,73.900002,77.580002,71.910004,75.279999,65.955391,10419100
2015-08-25,76.760002,77.160004,73.870003,73.940002,64.781387,7554700
2015-08-26,75.760002,77.139999,74.360001,76.839996,67.322166,8160000
