Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,124.769997,125.639999,124.750000,125.529999,118.927879,21349900
2015-07-14,125.459999,126.500000,125.400002,126.230003,119.591080,21009500
2015-07-15,126.309998,126.480003,125.269997,125.559998,118.956314,22238300
2015-07-16,126.110001,126.739998,125.970001,126.309998,119.666870,33568400
2015-07-17,126.309998,126.379997,125.360001,125.760002,119.145790,24739900
2015-07-20,125.779999,125.860001,124.760002,125.080002,118.501549,23271100
2015-07-21,125.070000,125.800003,124.110001,124.489998,117.942574,28118700
2015-07-22,124.080002,125.089996,123.879997,124.949997,118.378387,20654200
2015-07-23,124.989998,125.389999,123.300003,123.570000,117.070969,39712100
2015-07-24,123.480003,123.709999,121.489998,121.580002,115.185638,39533000
2015-07-27,121.129997,121.320000,120.269997,120.570000,114.228745,35627200
2015-07-28,120.919998,121.809998,119.339996,121.599998,115.204575,53474800
2015-07-29,121.360001,122.330002,120.970001,121.940002,115.526703,32411300
2015-07-30,121.629997,122.440002,121.010002,122.290001,115.858292,29383900
2015-07-31,122.449997,123.669998,122.220001,122.959999,116.493057,31812700
2015-08-03,123.029999,123.160004,121.459999,122.349998,115.915138,34033200
2015-08-04,122.389999,122.959999,121.610001,122.059998,115.640388,21728900
2015-08-05,122.589996,123.529999,121.910004,122.339996,115.905655,25673500
2015-08-06,122.470001,122.660004,119.779999,120.690002,114.342445,42225300
2015-08-07,120.139999,120.440002,119.070000,119.879997,113.575043,42261400
2015-08-10,120.330002,121.519997,120.309998,121.260002,114.882484,28798900
2015-08-11,120.480003,121.089996,119.650002,120.220001,113.897163,33383800
2015-08-12,119.570000,120.339996,117.970001,119.989998,113.679260,46500100
2015-08-13,120.099998,120.589996,119.389999,119.589996,113.300293,35698300
2015-08-14,119.489998,120.489998,119.019997,120.360001,114.029808,21091500
2015-08-17,120.029999,121.680000,119.599998,121.629997,115.232994,22328200
2015-08-18,121.459999,121.459999,120.519997,120.660004,114.314018,26360400
2015-08-19,119.900002,120.500000,118.739998,119.410004,113.129768,45178900
2015-08-20,118.339996,118.610001,116.389999,116.389999,110.268600,51879800
2015-08-21,115.129997,116.660004,114.370003,115.029999,108.980118,79168300
2015-08-24,109.510002,114.919998,108.260002,110.540001,104.726273,83809200
2015-08-25,114.050003,114.099998,109.559998,109.690002,103.920952,59240200
2015-08-26,111.830002,112.690002,109.419998,112.480003,106.564247,51605300
2015-08-27,113.300003,115.120003,112.360001,114.489998,108.468506,49533700
2015-08-28,114.360001,115.699997,114.209999,115.620003,109.539078,41601400
2015-08-31,115.099998,115.980003,114.760002,115.199997,109.141190,29250900
2015-09-01,113.110001,114.120003,111.599998,111.900002,106.014755,45129200
2015-09-02,113.410004,113.970001,112.080002,113.910004,107.919022,26865800
2015-09-03,114.080002,115.129997,113.550003,113.730003,107.748497,33334500
2015-09-04,112.529999,113.699997,112.279999,112.870003,106.933739,31154600
2015-09-08,114.559998,115.570000,114.110001,115.449997,109.378014,29916300
2015-09-09,116.169998,116.419998,114.010002,114.120003,108.117981,40963000
2015-09-10,113.750000,115.279999,113.730003,114.639999,108.610626,29877900
2015-09-11,114.160004,115.199997,113.660004,115.180000,109.122231,27949400
2015-09-14,115.519997,115.540001,114.430000,114.650002,108.620094,22365800
2015-09-15,114.860001,116.190002,114.730003,115.940002,109.842255,26745300
2015-09-16,115.949997,117.019997,115.790001,116.940002,110.789688,27127800
2015-09-17,116.919998,118.889999,116.680000,117.339996,111.168617,50405400
2015-09-18,115.760002,116.839996,115.400002,115.720001,109.633827,42736100
2015-09-21,116.540001,117.300003,115.080002,115.510002,109.434883,33021700
2015-09-22,114.449997,114.730003,113.050003,113.760002,107.776901,35786900
2015-09-23,114.019997,114.419998,113.070000,113.419998,107.454803,25506800
2015-09-24,112.790001,113.419998,111.870003,113.230003,107.274788,39810300
2015-09-25,113.820000,113.910004,110.930000,111.419998,105.862900,43750300
2015-09-28,111.050003,111.150002,107.879997,108.300003,102.898521,56765300
2015-09-29,108.250000,109.110001,106.989998,107.529999,102.166924,49980700
2015-09-30,108.480003,109.430000,107.910004,109.199997,103.753639,50834500
2015-10-01,109.370003,109.680000,107.430000,109.010002,103.573090,44985900
2015-10-02,107.980003,110.629997,107.120003,110.629997,105.112305,58019200
2015-10-05,111.660004,113.449997,111.540001,113.269997,107.620636,45220500
2015-10-06,113.209999,113.669998,111.779999,112.489998,106.879539,34140000
2015-10-07,113.099998,114.500000,112.629997,114.480003,108.770271,36371000
2015-10-08,114.379997,115.750000,113.949997,115.510002,109.748932,43072200
2015-10-09,115.720001,116.139999,115.400002,115.739998,109.967430,26497200
2015-10-12,115.790001,115.989998,115.070000,115.570000,109.805923,22984000
2015-10-13,115.110001,116.300003,113.930000,113.989998,108.304718,37445300
2015-10-14,114.040001,114.750000,112.709999,112.870003,107.240601,39987400
2015-10-15,113.190002,115.570000,112.660004,115.570000,109.805923,42503400
2015-10-16,115.800003,115.800003,114.430000,115.419998,109.663391,33685600
2015-10-19,114.900002,116.209999,114.650002,115.639999,109.872437,24949500
2015-10-20,115.580002,116.300003,115.029999,115.480003,109.720406,20531400
2015-10-21,115.919998,115.980003,113.650002,113.720001,108.048210,34060300
2015-10-22,114.410004,115.419998,113.730003,114.720001,108.998329,36882600
2015-10-23,115.650002,116.050003,114.730003,115.849998,110.071945,40172500
2015-10-26,115.599998,115.870003,114.930000,115.059998,109.321342,19783300
2015-10-27,114.589996,114.870003,113.099998,113.800003,108.124191,38189200
2015-10-28,114.139999,117.139999,113.919998,117.120003,111.278618,65529900
